,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
0,-7.275957614183426e-11,102818.98714393168,7.639755494892597e-11,1.8189894035458565e-11,25232.950479050625,5.4569682106375694e-11,16110.920799364236,-5.6495252920285566e-11,1.2369127944111824e-10,-5.093170329928398e-11,3.433342499192804e-11,5.820766091346741e-11,-1.0186340659856796e-10,-1.0186340659856796e-10,-4.3655745685100555e-11,-8.731149137020111e-11,-3.754019317625534e-11,2512.6157476400176,5.820766091346741e-11,0.0,-2.1827872842550278e-11,39530.4556236004,17146.41780452287,34989.533840557764,-1.6436064511681142e-16,6.902532920683853e-30,16381.738665185096,109075.82252126446,-5.5220263365470826e-30,9.860761315262648e-31,-2.7610131682735413e-30,29175.9034347794,0.0,80256.76737405767,6950.701715264808,36117.26932744487,71735.45905908609,-2.157041537713704e-31,27805.939281579384,7.888609052210118e-31,7755.926729643037,1.1093356479670479e-31
1,72412.34643328172,5.526246127374179e-11,2.1827872842550278e-11,-2.7284841053187847e-12,50886.63794777077,4.590550162220097e-11,14134.346199700638,1.8189894035458565e-10,-4.956746124662459e-11,-4.030198397231288e-11,5.820766091346741e-11,1.0913936421275139e-11,-7.744915819785092e-12,7.275957614183426e-11,5.030642569181509e-11,-4.501998773775995e-11,-2.1827872842550278e-11,1.8189894035458565e-11,5.289590987445081e-11,-2.7859492490733828e-11,1.4780177082229784e-11,-4.8254733542307804e-11,9289.135573598584,-5.4569682106375694e-12,-1.9398532645291324e-16,2.7610131682735413e-30,-2.3665827156630354e-30,-4.930380657631324e-30,7.888609052210118e-31,5.9164567891575885e-31,2.9582283945787943e-31,9.860761315262648e-31,2.1693674893577825e-30,46699.6639611929,55876.73810854409,118876.99611157672,104858.00699736539,51288.957104734494,-1.0846837446788912e-30,5.9164567891575885e-31,0.0,-2.465190328815662e-32
2,6.002665031701326e-11,1.0186340659856796e-10,-1.0186340659856796e-10,161610.19675916506,4.3655745685100555e-11,-1.3460521586239338e-10,1.1459633242338896e-10,2539.832242729746,-9.751488505571615e-11,5.093170329928398e-11,-6.184563972055912e-11,18836.68045798342,-2.9103830456733704e-11,-4.092726157978177e-12,-2.9103830456733704e-11,1.9126700223637272e-11,4.3655745685100555e-11,5.820766091346741e-11,-8.731149137020111e-11,8.36735125631094e-11,3.2741809263825417e-11,-1.8189894035458565e-11,4.3655745685100555e-11,-5.215383680479135e-12,1.445692437776715e-16,7.888609052210118e-31,-1.9721522630525295e-31,1.5777218104420236e-30,9.466330862652142e-30,7.888609052210118e-31,-3.1554436208840472e-30,1.1832913578315177e-30,3.0568360077314207e-30,1.8704631619888835e-30,4199.717002595112,40713.799124194295,14662.37230956689,9.306093491279124e-31,-1.1832913578315177e-30,1.9721522630525295e-31,2.465190328815662e-31,-4.930380657631324e-32
3,1.7280399333685637e-11,8.731149137020111e-11,190026.09892213513,0.0,-7.275957614183426e-12,3.637978807091713e-11,2.1600499167107046e-11,4441.437317107648,7.275957614183426e-12,3.375077994860476e-13,3.505018497662604e-11,25544.312401043233,-7.09405867382884e-11,-5.820766091346741e-11,1.5006662579253316e-11,-4.3655745685100555e-11,4.547473508864641e-12,6.579625733138528e-11,1.4551915228366852e-11,0.0,4.3655745685100555e-11,1.4551915228366852e-11,-6.521050366359304e-11,-2.1827872842550278e-11,-2.2800713356589905e-17,-5.9164567891575885e-31,0.0,5.9164567891575885e-31,-2.9582283945787943e-30,7.987216665362745e-30,2.3665827156630354e-30,0.0,3.944304526105059e-31,-3.944304526105059e-31,-3.3526588471893e-30,38050.4596479596,8043.831533263998,-2.2217527838451153e-30,27129.22956435854,-9.860761315262648e-32,0.0,-1.7256332301709633e-31
4,17519.85094048801,50168.004948408576,-3.8198777474462986e-11,-2.560796019679401e-11,4.247091567322059e-11,46947.84198013504,21611.06613410305,2836.7604011933595,-1.000444171950221e-10,4.773159645310443e-11,3.637978807091713e-12,1.602984411874786e-11,4.547473508864641e-12,-4.3655745685100555e-11,-6.093614501878619e-11,-1.4551915228366852e-11,7.09405867382884e-11,2851.1127340063435,-7.09405867382884e-11,6.791367468395038e-11,6.252776074688882e-12,1.8189894035458565e-11,5799.3254837514505,-2.0871970818348018e-11,2.2217436636371117e-17,-2.9582283945787943e-30,-3.944304526105059e-30,3.1554436208840472e-30,-5.9164567891575885e-30,1.9351744081202946e-30,7.888609052210118e-31,0.0,-2.9582283945787943e-30,64956.784618916325,58153.16998023099,85848.65375275319,62977.98705879951,35998.48382774144,3.944304526105059e-31,1.0846837446788912e-30,6.082086764374891e-31,2.9582283945787943e-31
5,-8.731149137020111e-11,-2.9103830456733704e-11,-2.9103830456733704e-11,-4.3655745685100555e-11,87340.08136233201,1.2005330063402653e-10,37169.192736610545,60458.94969248715,86716.95911024914,48174.34054972338,0.0,-2.0866863792434742e-11,-9.458744898438454e-11,1.6270540470486594e-11,-6.184563972055912e-11,-2.4556356947869062e-11,12625.56399036098,6.002665031701326e-11,-7.275957614183426e-12,7.071321306284517e-11,4.001776687800884e-11,7.275957614183426e-12,1.6370904631912708e-11,-3.637978807091713e-12,4.859259832762391e-16,-7.888609052210118e-30,7.888609052210118e-31,-3.1554436208840472e-30,19736.170019117504,28245.299617195866,-1.5777218104420236e-30,15037.629181926985,2.3665827156630354e-30,74064.41987727144,-2.3665827156630354e-30,-3.747089299799806e-30,3.944304526105059e-31,3.944304526105059e-31,-1.1832913578315177e-30,1.3805065841367707e-30,-3.944304526105059e-31,-1.9721522630525295e-31
6,43007.66710654528,53574.97143685153,-1.0186340659856796e-10,-4.001776687800884e-11,83088.19866696357,76815.404564323,-4.760636329592671e-12,52702.55084388748,110351.4549259133,1.1641532182693481e-10,9.666223377280403e-11,5908.359593854223,7.58859641791787e-11,-1.5279510989785194e-10,-1.8424373138259398e-11,3.8198777474462986e-11,0.0,6581.571856100898,2.7682744985213503e-11,-1.8189894035458565e-12,10967.990116340878,24371.45134373382,8736.809402594099,30566.30044427115,4.733165431326071e-30,4.733165431326071e-30,7.888609052210118e-31,61377.137714585006,0.0,7.888609052210118e-31,-2.5637979419682884e-30,18691.733240775327,-1.9721522630525295e-31,21569.80335056547,94848.03988519676,287659.94885879115,197860.46270327634,57116.30921888436,-1.67632942359465e-30,-7.395570986446986e-31,8014.827058241697,9.860761315262648e-32
7,-5.4569682106375694e-11,2.637534635141492e-11,39104.006657428894,58156.09930928935,10610.974956815424,121561.28261821909,51274.462702419565,1.5279510989785194e-10,102285.06964656601,27987.119478696237,43571.71117552584,66473.73611881759,122951.28245199945,177256.5245667271,121761.69353193471,2.8762769943568856e-11,-5.093170329928398e-11,3741.0239454536727,3.637978807091713e-11,50589.292200773685,0.0,3.637978807091713e-11,-1.0913936421275139e-11,-1.432454155292362e-11,1.5777218104420236e-30,-5.127595883936577e-30,0.0,-1.7749370367472766e-30,2.7610131682735413e-30,1.5777218104420236e-30,5.423418723394456e-31,-3.747089299799806e-30,-2.4035605705952703e-30,48593.14541288935,88096.35794259848,69542.35727964742,220682.78241701066,220037.86226041225,1.3805065841367707e-30,4857.819472082847,5.9164567891575885e-31,13907.664311404085
8,1.5165824152063578e-10,5.820766091346741e-11,-1.4551915228366852e-11,-1.0186340659856796e-10,-7.275957614183426e-12,153159.56286628908,94308.95838611439,89849.91026776691,9.094947017729282e-12,125666.44063184738,1.0913936421275139e-11,8.731149137020111e-11,-5.820766091346741e-11,4.3655745685100555e-11,5.434230843093246e-11,17494.64990977608,-3.902456136017918e-11,-2.546585164964199e-11,0.0,1.4551915228366852e-11,-1.6370904631912708e-11,-6.139089236967266e-12,1.9278800778010918e-11,7.275957614183426e-12,3.1554436208840472e-30,1.5777218104420236e-30,-1.8242408433235898e-30,-3.549874073494553e-30,4.696187576393836e-30,-3.4512664603419266e-31,-2.7610131682735413e-30,3.944304526105059e-31,-3.266377185680752e-30,-9.860761315262648e-31,-1.7749370367472766e-30,-3.944304526105059e-31,-6.902532920683853e-31,2.9582283945787943e-31,9.860761315262648e-31,-1.3312027775604574e-30,8.38164711797325e-31,-2.9582283945787943e-31
9,1.1641532182693481e-10,-3.637978807091713e-11,1.3096723705530167e-10,-5.820766091346741e-11,3.637978807091713e-12,76828.63762194623,-7.16600112582455e-11,22198.870616790056,113471.44618887691,-3.637978807091713e-12,23741.209393865243,3.728928277269006e-11,-1.372417735012732e-10,1.4551915228366852e-11,2.8658297956951628e-11,101470.01437074997,47100.41303377236,-5.6843418860808015e-11,13246.214430046048,-7.223555087421119e-11,1.072464339557655e-11,-1.5627943383833554e-11,0.0,3.0269120543380268e-12,-1.7749370367472766e-30,6.310887241768095e-30,3.747089299799806e-30,7.888609052210118e-31,25078.171780324166,2.3665827156630354e-30,13995.259202612893,-2.514494135391975e-30,2.7610131682735413e-30,33351.27382254453,44855.236886789324,11116.544044530157,87930.57305268807,352999.36538841604,1.9721522630525295e-30,41575.219603470556,-4.930380657631324e-31,18813.747598298294
